               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11342,            0.016318,                   0,           0.0009781,            0.047619,          0.00053208,           0.0001032,             0.10905,            0.013874,                   0,             0.00011,             0.00011,             0.09901
                   1,             0.10506,            0.016536,                   0,            0.001708,             0.12245,          0.00084039,          0.00017052,             0.10058,            0.013095,                   0,          0.00022996,          0.00022996,             0.09793
                   2,            0.098977,            0.016193,                   0,           0.0085674,            0.047619,           0.0016373,          0.00035572,            0.095593,            0.012618,                   0,          0.00034978,          0.00034978,             0.09685
                   3,            0.093409,            0.016637,                   0,           0.0066413,            0.088435,           0.0021124,          0.00042778,            0.090126,            0.012608,                   0,          0.00046935,          0.00046935,            0.095769
                   4,             0.08591,            0.017522,                   0,            0.082473,            0.061224,            0.018398,           0.0043396,            0.080011,             0.01328,                   0,          0.00058855,          0.00058855,            0.094689
                   5,             0.07692,            0.019364,                   0,            0.083001,              0.2381,            0.048154,           0.0093928,            0.075407,            0.013413,                   0,          0.00070727,          0.00070727,            0.093607
                   6,            0.069363,            0.020254,                   0,             0.25163,             0.30612,             0.15933,            0.037229,            0.062759,            0.013724,                   0,           0.0008254,           0.0008254,            0.092525
                   7,            0.061961,            0.019404,                   0,             0.33421,             0.29932,             0.20404,            0.041236,            0.062151,            0.013049,                   0,          0.00094284,          0.00094284,            0.091443
                   8,            0.059035,            0.018239,                   0,             0.45546,             0.44898,             0.38881,              0.1107,            0.054352,             0.01249,                   0,           0.0010595,           0.0010595,            0.090359
                   9,            0.056276,             0.01817,                   0,             0.38768,             0.33333,             0.34654,            0.099786,            0.052809,            0.011692,                   0,           0.0011752,           0.0011752,            0.089275
                  10,            0.053892,            0.016867,                   0,             0.44578,             0.64626,             0.51212,             0.16221,            0.051333,            0.010707,                   0,           0.0012899,           0.0012899,             0.08819
                  11,             0.05405,            0.016093,                   0,             0.52785,             0.63265,             0.57585,             0.16916,            0.051724,            0.010335,                   0,           0.0014035,           0.0014035,            0.087104
                  12,            0.051465,            0.014682,                   0,             0.58981,             0.63265,              0.6408,             0.16715,            0.052432,           0.0094542,                   0,           0.0015159,           0.0015159,            0.086016
                  13,             0.05193,            0.014392,                   0,             0.77392,             0.64626,             0.74136,             0.26879,            0.048395,           0.0090171,                   0,           0.0016269,           0.0016269,            0.084927
                  14,            0.051215,            0.013218,                   0,             0.67429,              0.7605,             0.72571,             0.28701,            0.044986,           0.0089244,                   0,           0.0017365,           0.0017365,            0.083836
                  15,            0.050133,            0.013023,                   0,             0.77696,              0.7619,             0.81001,             0.30733,            0.047178,           0.0082217,                   0,           0.0018446,           0.0018446,            0.082745
                  16,            0.049446,            0.012351,                   0,             0.65705,              0.6256,             0.64845,             0.22054,            0.050134,           0.0079849,                   0,            0.001951,            0.001951,            0.081651
                  17,            0.047343,            0.012045,                   0,             0.81959,             0.57143,             0.68673,             0.20798,            0.051146,           0.0079186,                   0,           0.0020558,           0.0020558,            0.080556
                  18,             0.04743,            0.011559,                   0,             0.65988,             0.75232,             0.73092,             0.24583,            0.051125,           0.0073014,                   0,           0.0021587,           0.0021587,            0.079459
                  19,            0.046138,            0.010751,                   0,             0.85386,             0.80272,             0.82823,             0.31166,            0.043438,           0.0073433,                   0,           0.0022597,           0.0022597,             0.07836
                  20,             0.04577,            0.010687,                   0,             0.67764,             0.81513,             0.74009,             0.27883,             0.04457,            0.007089,                   0,           0.0023587,           0.0023587,            0.077259
                  21,            0.046289,            0.010045,                   0,             0.78589,             0.77551,             0.80786,             0.31388,            0.047058,           0.0068096,                   0,           0.0024556,           0.0024556,            0.076156
                  22,            0.044197,            0.010106,                   0,             0.80106,             0.79592,             0.81311,              0.3107,             0.04225,           0.0066838,                   0,           0.0025504,           0.0025504,             0.07505
                  23,            0.043026,           0.0094777,                   0,             0.64529,             0.78231,             0.72381,              0.2335,            0.046844,           0.0063816,                   0,           0.0026429,           0.0026429,            0.073943
                  24,            0.042642,           0.0095863,                   0,             0.86952,             0.81633,             0.87966,             0.31524,            0.042491,           0.0063362,                   0,            0.002733,            0.002733,            0.072833
