               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11271,            0.016241,                   0,          0.00093695,            0.061224,          0.00049679,          9.5532e-05,             0.10881,            0.013948,                   0,             0.00011,             0.00011,             0.09901
                   1,             0.10513,             0.01607,                   0,           0.0010263,              0.2381,          0.00064032,          0.00014125,             0.10248,            0.013058,                   0,           0.0002298,           0.0002298,             0.09793
                   2,            0.098767,            0.016261,                   0,              0.0025,            0.081633,           0.0010228,          0.00023242,            0.096706,            0.012476,                   0,          0.00034876,          0.00034876,            0.096849
                   3,            0.092024,            0.017187,                   0,            0.015877,            0.068027,           0.0037583,          0.00073897,            0.088085,            0.012897,                   0,          0.00046625,          0.00046625,            0.095766
                   4,            0.086068,             0.01736,                   0,            0.061809,             0.10204,            0.020301,           0.0048448,             0.08118,            0.013093,                   0,          0.00058166,          0.00058166,            0.094682
                   5,            0.078212,            0.018474,                   0,             0.16708,             0.10884,            0.061311,            0.011095,            0.074678,            0.013413,                   0,          0.00069436,          0.00069436,            0.093594
                   6,            0.070164,            0.019401,                   0,             0.12746,             0.48299,             0.13684,            0.026581,            0.064404,            0.013635,                   0,          0.00080377,          0.00080377,            0.092504
                   7,            0.063259,             0.01957,                   0,            0.048296,             0.21769,            0.033218,           0.0049947,             0.07303,            0.012156,                   0,          0.00090931,          0.00090931,            0.091409
                   8,            0.060309,            0.019523,                   0,             0.35866,             0.46793,             0.32986,             0.08726,            0.056331,            0.012606,                   0,           0.0010104,           0.0010104,             0.09031
                   9,            0.055407,            0.018796,                   0,             0.23306,             0.37415,             0.22101,            0.045054,            0.062256,            0.010974,                   0,           0.0011066,           0.0011066,            0.089207
                  10,            0.053436,            0.016901,                   0,             0.35309,             0.46259,              0.3589,             0.09866,            0.057992,            0.010678,                   0,           0.0011974,           0.0011974,            0.088097
                  11,            0.052008,            0.016097,                   0,             0.48481,             0.44218,              0.4664,             0.12558,            0.052167,            0.010675,                   0,           0.0012823,           0.0012823,            0.086982
                  12,             0.05162,            0.015218,                   0,             0.65347,             0.61905,             0.67086,             0.21226,            0.049237,           0.0098072,                   0,            0.001361,            0.001361,            0.085861
                  13,            0.049696,            0.014926,                   0,             0.74213,             0.57143,             0.69992,             0.23895,            0.050168,            0.009105,                   0,           0.0014329,           0.0014329,            0.084733
                  14,            0.049391,            0.013562,                   0,             0.62065,             0.62585,             0.64039,             0.22002,            0.049861,           0.0089119,                   0,           0.0014979,           0.0014979,            0.083598
                  15,            0.047393,             0.01301,                   0,             0.69986,             0.62585,             0.70547,             0.23125,            0.052769,           0.0081747,                   0,           0.0015557,           0.0015557,            0.082456
                  16,            0.048427,            0.012506,                   0,              0.7514,             0.76079,             0.77478,             0.31323,            0.047851,           0.0081036,                   0,            0.001606,            0.001606,            0.081306
                  17,            0.047336,            0.011861,                   0,             0.79352,             0.82313,             0.80651,             0.32616,            0.041767,           0.0080793,                   0,           0.0016486,           0.0016486,            0.080149
                  18,            0.046902,            0.011731,                   0,             0.89516,             0.70748,              0.8169,             0.34444,             0.04208,           0.0079861,                   0,           0.0016834,           0.0016834,            0.078983
                  19,             0.04399,            0.011214,                   0,             0.68694,             0.82313,             0.77727,             0.30174,            0.044954,           0.0072862,                   0,           0.0017104,           0.0017104,             0.07781
                  20,             0.04482,            0.010411,                   0,             0.85818,             0.78213,             0.85703,             0.36927,            0.041867,           0.0074077,                   0,           0.0017295,           0.0017295,             0.07663
                  21,             0.04307,            0.010177,                   0,             0.81597,             0.75407,             0.83376,             0.35316,            0.042466,           0.0072864,                   0,           0.0017408,           0.0017408,            0.075441
