               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11414,             0.01604,                   0,           0.0064218,            0.013605,          0.00070485,          0.00011344,             0.10719,             0.01283,                   0,             0.00032,             0.00032,             0.09712
                   1,              0.1048,            0.015579,                   0,           0.0012226,             0.13605,          0.00070683,          0.00014395,            0.098219,            0.012407,                   0,          0.00064986,          0.00064986,             0.09415
                   2,            0.094633,            0.016449,                   0,           0.0088946,            0.034014,           0.0019805,          0.00038305,            0.088819,            0.012652,                   0,          0.00097913,          0.00097913,            0.091179
                   3,            0.082994,            0.018102,                   0,            0.021058,             0.12925,            0.010034,           0.0019185,            0.077631,            0.013056,                   0,           0.0013074,           0.0013074,            0.088207
                   4,            0.071289,            0.018914,                   0,             0.16817,             0.31973,              0.1339,            0.032148,             0.06697,            0.013145,                   0,           0.0016342,           0.0016342,            0.085234
                   5,            0.065589,            0.018464,                   0,             0.25832,             0.28571,             0.20633,            0.057284,            0.064799,            0.012409,                   0,           0.0019591,           0.0019591,            0.082259
                   6,            0.059335,            0.017888,                   0,             0.66316,             0.37415,             0.41578,             0.10169,             0.05737,            0.011788,                   0,           0.0022817,           0.0022817,            0.079282
                   7,            0.057016,            0.017365,                   0,             0.44047,             0.42177,              0.3724,             0.13005,            0.059649,            0.010658,                   0,           0.0026015,           0.0026015,            0.076301
                   8,            0.055382,            0.014903,                   0,             0.62921,             0.47619,             0.53708,             0.16901,            0.052727,             0.01008,                   0,           0.0029182,           0.0029182,            0.073318
                   9,            0.053156,            0.014754,                   0,             0.52662,             0.36735,             0.42293,             0.14313,            0.058175,           0.0093689,                   0,           0.0032312,           0.0032312,            0.070331
                  10,            0.053431,            0.013802,                   0,             0.68759,             0.46259,             0.51305,             0.21235,            0.050482,           0.0096559,                   0,           0.0035403,           0.0035403,             0.06734
                  11,            0.052233,            0.012892,                   0,              0.6703,             0.65306,             0.70641,             0.28373,            0.048405,           0.0085499,                   0,           0.0038449,           0.0038449,            0.064345
                  12,            0.051047,            0.012784,                   0,             0.46536,             0.64541,             0.50939,             0.13889,            0.052382,           0.0083405,                   0,           0.0041447,           0.0041447,            0.061345
                  13,            0.048963,            0.011452,                   0,             0.73864,             0.58503,             0.64771,             0.22517,            0.049328,           0.0085162,                   0,           0.0044394,           0.0044394,            0.058339
                  14,            0.050004,            0.011047,                   0,             0.53231,             0.52381,             0.50549,             0.18886,             0.05667,           0.0083639,                   0,           0.0047284,           0.0047284,            0.055328
                  15,            0.053352,            0.011236,                   0,             0.65885,             0.72789,             0.69773,             0.21785,               0.053,           0.0078291,                   0,           0.0050115,           0.0050115,            0.052312
                  16,            0.050666,            0.010748,                   0,             0.67692,             0.59862,             0.65553,             0.26903,            0.048011,           0.0081783,                   0,           0.0052883,           0.0052883,            0.049288
                  17,            0.049743,            0.010724,                   0,             0.89999,             0.67338,             0.82895,             0.32124,            0.046092,           0.0068339,                   0,           0.0055584,           0.0055584,            0.046258
                  18,            0.047669,           0.0098848,                   0,             0.58885,             0.57823,                0.58,             0.18884,              0.0491,           0.0073183,                   0,           0.0058215,           0.0058215,            0.043221
                  19,            0.048192,            0.010704,                   0,             0.80573,             0.70536,             0.79622,             0.28851,            0.045068,           0.0067952,                   0,           0.0060772,           0.0060772,            0.040177
